P.O.S,Gender,Number,Case,Morphology
Article,Masculine,Singular,Nominative,ὁ
Article,Masculine,Singular,Genitive,τοῦ
Article,Masculine,Singular,Dative,τῷ
Article,Masculine,Singular,Accusative,τόν
Article,Masculine,Dual,Nominative,τώ
Article,Masculine,Dual,Genitive,τοῖν
Article,Masculine,Dual,Dative,τοῖν
Article,Masculine,Dual,Accusative,τώ
Article,Masculine,Plural,Nominative,οἱ
Article,Masculine,Plural,Genitive,τῶν
Article,Masculine,Plural,Dative,τοῖς
Article,Masculine,Plural,Accusative,τούς
Article,Feminine,Singular,Nominative,ἡ
Article,Feminine,Singular,Genitive,τῆς
Article,Feminine,Singular,Dative,τῇ
Article,Feminine,Singular,Accusative,τήν
Article,Feminine,Dual,Nominative,τᾱ́
Article,Feminine,Dual,Genitive,ταῖν
Article,Feminine,Dual,Dative,ταῖν
Article,Feminine,Dual,Accusative,τᾱ́
Article,Feminine,Plural,Nominative,αἱ
Article,Feminine,Plural,Genitive,τῶν
Article,Feminine,Plural,Dative,ταῖς
Article,Feminine,Plural,Accusative,τᾱ́ς
Article,Neuter,Singular,Nominative,τό
Article,Neuter,Singular,Genitive,τοῦ
Article,Neuter,Singular,Dative,τῷ
Article,Neuter,Singular,Accusative,τό
Article,Neuter,Dual,Nominative,τώ
Article,Neuter,Dual,Genitive,τοῖν
Article,Neuter,Dual,Dative,τοῖν
Article,Neuter,Dual,Accusative,τώ
Article,Neuter,Plural,Nominative,τά
Article,Neuter,Plural,Genitive,τῶν
Article,Neuter,Plural,Dative,τοῖς
Article,Neuter,Plural,Accusative,τά
