pos,abbreviation,num traits,trait 1,trait 2,trait 3,trait 4,trait 5,trait 6,trait 7
Adjective,A,2,why_indeclinable,indeclinable,,,,,
Adjective,A,3,word_case,number,gender,,,,
Adjective,A,4,word_case,number,gender,attic_greek_form,,,
Adjective,A,4,word_case,number,gender,type,,,
Adjective,A,5,word_case,number,gender,type,attic_greek_form,,
Adverb,ADV,0,,,,,,,
Adverb,ADV,1,type,,,,,,
Aramaism,ARAM,0,,,,,,,
Article,T,3,word_case,number,gender,,,,
Conjunction,CONJ,1,type,,,,,,
Conditional Particle or Conjunction,COND,0,,,,,,,
Conditional Particle or Conjunction,COND,1,kai_crasis,,,,,,
Conjunction,CONJ,0,,,,,,,
Correlative Pronoun,K,3,word_case,number,gender,,,,
Correlative or Interrogative Pronoun,Q,3,word_case,number,gender,,,,
Demonstrative Pronoun,D,3,word_case,number,gender,,,,
Demonstrative Pronoun,D,4,word_case,number,gender,kai_crasis,,,
Hebraism,HEB,0,,,,,,,
Indefinite Pronoun,X,3,word_case,number,gender,,,,
Interjection,INJ,0,,,,,,,
Interrogative Pronoun,I,3,word_case,number,gender,,,,
Noun,N,2,why_indeclinable,indeclinable,,,,,
Noun,N,3,word_case,number,gender,,,,
Noun,N,4,word_case,number,gender,type,,,
Particle,PRT,0,,,,,,,
Particle,PRT,1,type,,,,,,
Personal Pronoun,P,3,word_case,number,gender,,,,
Personal Pronoun,P,3,person,word_case,number,,,,
Personal Pronoun,P,4,person,word_case,number,kai_crasis,,,
Possessive Pronoun,S,5,person,number,word_case,number,gender,,
Preposition,PREP,0,,,,,,,
Reciprocal Pronoun,C,3,word_case,number,gender,,,,
Reflexive Pronoun,F,3,word_case,number,gender,,,,
Reflexive Pronoun,F,3,person,word_case,gender,,,,
Reflexive Pronoun,F,4,person,word_case,number,gender,,,
Relative Pronoun,R,3,word_case,number,gender,,,,
Relative Pronoun,R,4,word_case,number,gender,attic_greek_form,,,
Verb,V,3,tense,voice,mood,,,,
Verb,V,4,tense,voice,mood,attic_greek_form,,,
Verb,V,5,tense,voice,mood,person,number,,
Verb,V,6,tense,voice,mood,person,number,attic_greek_form,
Verb,V,6,tense,voice,mood,word_case,number,gender,
Verb,V,7,tense,voice,mood,word_case,number,gender,attic_greek_form
