id,word,book,chapter,verse,word_index
1,*KAI\,JOH,7,53,0
2,A)PH=LQEN,JOH,7,53,1
3,E(/KASTOS,JOH,7,53,2
4,EI)S,JOH,7,53,3
5,TO\N,JOH,7,53,4
6,OI)=KON,JOH,7,53,5
7,AU)TOU=,JOH,7,53,6
8,KAI\,JOH,8,1,0
9,O(,JOH,8,1,1
10,*)IHSOU=S,JOH,8,1,2
11,E)POREU/QH,JOH,8,1,3
12,EI)S,JOH,8,1,4
13,TO\,JOH,8,1,5
14,O)/ROS,JOH,8,1,6
15,TW=N,JOH,8,1,7
16,*)ELAIW=N,JOH,8,1,8
17,*)/ORQROU,JOH,8,2,0
18,DE\,JOH,8,2,1
19,PA/LIN,JOH,8,2,2
20,H)=LQEN,JOH,8,2,3
21,O(,JOH,8,2,4
22,*)IHSOU=S,JOH,8,2,5
23,EI)S,JOH,8,2,6
24,TO\,JOH,8,2,7
25,I(ERO/N,JOH,8,2,8
26,KAI\,JOH,8,2,9
27,PA=S,JOH,8,2,10
28,O(,JOH,8,2,11
29,LAO\S,JOH,8,2,12
30,H)/RXETO,JOH,8,2,13
31,PRO\S,JOH,8,2,14
32,AU)TO/N,JOH,8,2,15
33,KAI\,JOH,8,2,16
34,KAQI/SAS,JOH,8,2,17
35,E)DI/DASKEN,JOH,8,2,18
36,AU)TOU/S,JOH,8,2,19
37,*)/AGOUSIN,JOH,8,3,0
38,DE\,JOH,8,3,1
39,OI(,JOH,8,3,2
40,GRAMMATEI=S,JOH,8,3,3
41,KAI\,JOH,8,3,4
42,OI(,JOH,8,3,5
43,*FARISAI=OI,JOH,8,3,6
44,GUNAI=KA,JOH,8,3,7
45,E)PI\,JOH,8,3,8
46,MOIXEI/A|,JOH,8,3,9
47,KATEILHMME/NHN,JOH,8,3,10
48,KAI\,JOH,8,3,11
49,STH/SANTES,JOH,8,3,12
50,AU)TH\N,JOH,8,3,13
51,E)N,JOH,8,3,14
52,TW=|,JOH,8,3,15
53,ME/SW|,JOH,8,3,16
54,EI)=PON,JOH,8,4,0
55,AU)TW=|,JOH,8,4,1
56,*DIDA/SKALE,JOH,8,4,2
57,TAU/THN,JOH,8,4,3
58,EU(/ROMEN,JOH,8,4,4
59,E)P,JOH,8,4,5
60,MOIXEUOME/NHN,JOH,8,4,6
61,*)EN,JOH,8,5,0
62,DE\,JOH,8,5,1
63,TW=|,JOH,8,5,2
64,NO/MW|,JOH,8,5,3
65,H(MW=N,JOH,8,5,4
66,E)NETEI/LATO,JOH,8,5,5
67,TA\S,JOH,8,5,6
68,TOIAU/TAS,JOH,8,5,7
69,LIQA/ZEIN,JOH,8,5,8
70,SU\,JOH,8,5,9
71,OU)=N,JOH,8,5,10
72,TI/,JOH,8,5,11
73,LE/GEIS,JOH,8,5,12
74,*TOU=TO,JOH,8,6,0
75,DE\,JOH,8,6,1
76,E)/LEGON,JOH,8,6,2
77,PEIRA/ZONTES,JOH,8,6,3
78,AU)TO/N,JOH,8,6,4
79,I(/NA,JOH,8,6,5
80,E)/XWSIN,JOH,8,6,6
81,KATHGORI/AN,JOH,8,6,7
82,KAT,JOH,8,6,8
83,AU)TOU=,JOH,8,6,9
84,*(O,JOH,8,6,10
85,DE\,JOH,8,6,11
86,*)IHSOU=S,JOH,8,6,12
87,KA/TW,JOH,8,6,13
88,KU/YAS,JOH,8,6,14
89,TW=|,JOH,8,6,15
90,DAKTU/LW|,JOH,8,6,16
91,E)/GRAFEN,JOH,8,6,17
92,EI)S,JOH,8,6,18
93,TH\N,JOH,8,6,19
94,GH=N,JOH,8,6,20
95,*(WS,JOH,8,7,0
96,DE\,JOH,8,7,1
97,E)PE/MENON,JOH,8,7,2
98,E)PERWTW=NTES,JOH,8,7,3
99,AU)TO/N,JOH,8,7,4
100,A)NABLE/YAS,JOH,8,7,5
101,EI)=PEN,JOH,8,7,6
102,AU)TOI=S,JOH,8,7,7
103,*(O,JOH,8,7,8
104,A)NAMA/RTHTOS,JOH,8,7,9
105,U(MW=N,JOH,8,7,10
106,PRW=TOS,JOH,8,7,11
107,LI/QON,JOH,8,7,12
108,BALE/TW,JOH,8,7,13
109,E)P,JOH,8,7,14
110,AU)TH/N,JOH,8,7,15
111,*KAI\,JOH,8,8,0
112,PA/LIN,JOH,8,8,1
113,KA/TW,JOH,8,8,2
114,KU/YAS,JOH,8,8,3
115,E)/GRAFEN,JOH,8,8,4
116,EI)S,JOH,8,8,5
117,TH\N,JOH,8,8,6
118,GH=N,JOH,8,8,7
119,*OI(,JOH,8,9,0
120,DE/,JOH,8,9,1
121,A)KOU/SANTES,JOH,8,9,2
122,EI(=S,JOH,8,9,3
123,KAQ,JOH,8,9,4
124,EI(=S,JOH,8,9,5
125,A)RCA/MENOI,JOH,8,9,6
126,A)PO\,JOH,8,9,7
127,TW=N,JOH,8,9,8
128,PRESBUTE/RWN,JOH,8,9,9
129,E(/WS,JOH,8,9,10
130,TW=N,JOH,8,9,11
131,E)SXA/TWN,JOH,8,9,12
132,KAI\,JOH,8,9,13
133,KATELEI/FQH,JOH,8,9,14
134,KAI\,JOH,8,9,15
135,H(,JOH,8,9,16
136,GUNH\,JOH,8,9,17
137,E)N,JOH,8,9,18
138,ME/SW|,JOH,8,9,19
139,OU)=SA,JOH,8,9,20
140,*)ANAKU/YAS,JOH,8,10,0
141,DE\,JOH,8,10,1
142,O(,JOH,8,10,2
143,*)IHSOU=S,JOH,8,10,3
144,EI)=DEN,JOH,8,10,4
145,AU)TH\N,JOH,8,10,5
146,KAI\,JOH,8,10,6
147,EI)=PEN,JOH,8,10,7
148,*GU/NAI,JOH,8,10,8
149,POU=,JOH,8,10,9
150,*OU)DEI/S,JOH,8,10,10
151,SE,JOH,8,10,11
152,KATE/KRINEN,JOH,8,10,12
153,*(H,JOH,8,11,0
154,DE\,JOH,8,11,1
155,EI)=PEN,JOH,8,11,2
156,*OU)DEI/S,JOH,8,11,3
157,KU/RIE,JOH,8,11,4
158,*EI)=PEN,JOH,8,11,5
159,DE\,JOH,8,11,6
160,AU)TH=|,JOH,8,11,7
161,O(,JOH,8,11,8
162,*)IHSOU=S,JOH,8,11,9
163,*OU)DE\,JOH,8,11,10
164,E)GW/,JOH,8,11,11
165,SE,JOH,8,11,12
166,KATAKRI/NW,JOH,8,11,13
167,POREU/OU,JOH,8,11,14
168,MHKE/TI,JOH,8,11,15
169,A(MA/RTANE,JOH,8,11,16
170,O(\S,ACT,24,6,0
171,KAI\,ACT,24,6,1
172,TO\,ACT,24,6,2
173,I(ERO\N,ACT,24,6,3
174,E)PEI/RASEN,ACT,24,6,4
175,BEBHLW=SAI,ACT,24,6,5
176,O(\N,ACT,24,6,6
177,KAI\,ACT,24,6,7
178,E)KRATH/SAMEN,ACT,24,6,8
179,KAI\,ACT,24,6,9
180,KATA\,ACT,24,6,10
181,TO\N,ACT,24,6,11
182,H(ME/TERON,ACT,24,6,12
183,NO/MON,ACT,24,6,13
184,H)QELH/SAMEN,ACT,24,6,14
185,KRI=NAI,ACT,24,6,15
186,*PARELQW\N,ACT,24,7,0
187,DE\,ACT,24,7,1
188,*LUSI/AS,ACT,24,7,2
189,O(,ACT,24,7,3
190,XILI/ARXOS,ACT,24,7,4
191,META\,ACT,24,7,5
192,POLLH=S,ACT,24,7,6
193,BI/AS,ACT,24,7,7
194,E)K,ACT,24,7,8
195,TW=N,ACT,24,7,9
196,XEIRW=N,ACT,24,7,10
197,H(MW=N,ACT,24,7,11
198,A)PH/GAGEN,ACT,24,7,12
199,KELEU/SAS,ACT,24,8,0
200,TOU\S,ACT,24,8,1
201,KATHGO/ROUS,ACT,24,8,2
202,AU)TOU=,ACT,24,8,3
203,E)/RXESQAI,ACT,24,8,4
204,E)PI\,ACT,24,8,5
205,PAR,ACT,24,8,6
206,OU(=,ACT,24,8,7
207,DUNH/SH|,ACT,24,8,8
208,AU)TO\S,ACT,24,8,9
209,A)NAKRI/NAS,ACT,24,8,10
210,PERI\,ACT,24,8,11
211,PA/NTWN,ACT,24,8,12
212,TOU/TWN,ACT,24,8,13
213,E)PIGNW=NAI,ACT,24,8,14
214,W(=N,ACT,24,8,15
215,H(MEI=S,ACT,24,8,16
216,KATHGOROU=MEN,ACT,24,8,17
217,AU)TOU=,ACT,24,8,18
